id,codexid,cote,element,theme
39275,48,K04_A_11,pantli,05.12.46
39276,48,K04_A_11,ce,06.01.01
39277,48,K04_A_11,macuilli,06.01.02
39278,48,K04_A_13,tliltic,08.01.02
39279,48,K04_A_13,matlalli,03.03.06
39280,48,K04_A_14,xocpalmachiyotl,01.04.03
39281,48,K04_A_14,atl,04.05.01
39282,48,K04_A_15,comitl,05.03.01
39283,48,K04_A_15,tototl,02.01.13
39284,48,K04_A_15,atl,04.05.01
39285,48,K04_A_16,pantli,05.12.46
39286,48,K04_A_16,tlantli,01.02.19
39287,48,K04_A_16,tentli,01.02.18
39288,48,K04_A_17,zoyatl,03.02.20
39289,48,K04_A_17,tlantli,01.02.19
39290,48,K04_A_17,atl,04.05.01
39291,48,K04_A_18,macuilli,06.01.02
39292,48,K04_A_18,ce,06.01.01
39293,48,K04_A_18,tlacatl,01.01.01
39294,48,K04_A_18,huictli,05.10.01
39295,48,K04_A_19,ce,06.01.01
39296,48,K04_A_19,huictli,05.10.01
39297,48,K04_A_19,tlacatl,01.01.01
39298,48,K04_A_19,macuilli,06.01.02
39299,48,K04_A_20,huictli,05.10.01
39300,48,K04_A_20,tlacatl,01.01.01
39301,48,K04_A_20,ce,06.01.01
39302,48,K04_A_21,ce,06.01.01
39303,48,K04_A_21,tlacatl,01.01.01
39304,48,K04_A_21,huictli,05.10.01
39305,48,K04_A_23,tochtli,02.02.08
39306,48,K04_A_23,tecomatl,05.03.08
39307,48,K04_B_01,atl,04.05.01
39308,48,K04_B_01,mitl,05.13.01
