id,codexid,cote,element,theme
1,1,X.010.A.01,tetl,04.04.01
2,1,X.010.A.01,xocpalmachiyotl,01.04.03
3,1,X.010.A.03,petlatl,05.02.03
4,1,X.010.A.03,cuahuitl_1,03.01.01
5,1,X.010.A.03,comitl,05.03.01
6,1,X.010.A.04,tototl,02.01.13
7,1,X.010.A.04,tepetl,04.03.08
8,1,X.010.A.04,atl,04.05.01
9,1,X.010.B.01,zacatl,03.02.08
10,1,X.010.B.01,tlanelhuatl,03.04.10
11,1,X.010.B.02,tolin,03.02.02
12,1,X.010.B.02,tentli,01.02.18
13,1,X.010.B.03-,zacatl,03.02.08
14,1,X.010.B.03-,tzacualli,05.01.08
15,1,X.010.B.03-,tamazolin,02.02.18
16,1,X.010.B.03-,atl,04.05.01
17,1,X.010.B.03-,artefact_09,05.01.21
18,1,X.010.B.04,ixtelolotli,01.02.15
19,1,X.010.B.08,acatl,03.02.05
20,1,X.010.B.08,huitztli,03.04.09
21,1,X.010.B.08,tepetl,04.03.08
22,1,X.010.B.09,xolotl,02.02.13
23,1,X.010.B.12,nopalli,03.02.09
24,1,X.010.B.15,cuahuitl_1,03.01.01
25,1,X.010.B.15,tepetl,04.03.08
26,1,X.010.B.15,yacatl,01.02.17
27,1,X.010.B.16,ixtelolotli,01.02.15
28,1,X.010.B.17,cihuatl,01.02.11
29,1,X.010.B.17,tepetl,04.03.08
30,1,X.010.B.17,atl,04.05.01
31,1,X.010.B.18,ixtelolotli,01.02.15
32,1,X.010.B.19,pantli,05.12.46
33,1,X.010.B.19,oztotl,04.03.09
34,1,X.010.B.20,tepetl,04.03.08
35,1,X.010.B.20,montagnes_05,07.01.08
36,1,X.010.B.21,ixtelolotli,01.02.15
37,1,X.010.B.23,tetl,04.04.01
38,1,X.010.B.23,oztotl,04.03.09
39,1,X.010.B.23,petlatl,05.02.03
40,1,X.010.B.25,ixtelolotli,01.02.15
41,1,X.010.B.26,tzinacan,02.01.27
42,1,X.010.B.26,oztotl,04.03.09
43,1,X.010.B.27,ixtelolotli,01.02.15
44,1,X.010.B.28,tecpatl,04.04.08
45,1,X.010.B.28,tepetl,04.03.08
46,1,X.010.B.28,atl,04.05.01
47,1,X.010.B.29-,zacatl,03.02.08
48,1,X.010.B.29-,tzacualli,05.01.08
49,1,X.010.B.29-,tolin,03.02.02
50,1,X.010.B.29-,tentli,01.02.18
51,1,X.010.B.29-,artefact_09,05.01.21
52,1,X.010.B.31,ixtelolotli,01.02.15
53,1,X.010.B.32,oztotl,04.03.09
54,1,X.010.B.32,tepetl,04.03.08
55,1,X.010.B.32,atl,04.05.01
56,1,X.010.C.01,tepetl,04.03.08
57,1,X.010.C.01,atl,04.05.01
58,1,X.010.C.02,xihuitl_4,06.01.04
59,1,X.010.C.02,tepetl,04.03.08
60,1,X.010.C.02,atl,04.05.01
61,1,X.010.C.04,nopalli,03.02.09
62,1,X.010.C.06,tepetl,04.03.08
63,1,X.010.C.06,montagnes_04,07.01.07
64,1,X.010.C.07,montagnes_03,07.01.06
65,1,X.010.C.07,tepetl,04.03.08
66,1,X.010.C.08,tepetl,04.03.08
67,1,X.010.C.08,texcalli,07.01.01
68,1,X.010.C.08,atl,04.05.01
69,1,X.010.C.09,tepetl,04.03.08
70,1,X.010.C.09,montagnes_02,07.01.05
71,1,X.010.C.10,nopalli,03.02.09
72,1,X.010.C.14,oztotl,04.03.09
73,1,X.010.D.01,tepetl,04.03.08
74,1,X.010.D.01,atl,04.05.01
75,1,X.010.D.02,apoctli,04.02.04
76,1,X.010.D.04,ce,06.01.01
77,1,X.010.D.04,acatl,03.02.05
78,1,X.010.D.04,mitl,05.13.01
79,1,X.010.D.04,xiuhtic,08.01.03
80,1,X.010.D.05,cohuatl,02.02.20
81,1,X.010.D.05,quimilli,05.12.13
82,1,X.010.D.06,tlapalli,08.01.04
83,1,X.010.D.06,atl,04.05.01
84,1,X.010.D.10,itztli,04.04.06
85,1,X.010.D.10,caxitl,05.03.05
86,1,X.010.D.11,chocholli,02.02.11
87,1,X.010.D.12,centli,03.04.02
88,1,X.010.D.12,xihuitl_4,06.01.04
89,1,X.010.D.12,macuilli,06.01.02
90,1,X.010.D.12,ce,06.01.01
91,1,X.010.D.12,xiuhtic,08.01.03
92,1,X.010.D.12,ce,06.01.01
93,1,X.010.D.13,oztotl,04.03.09
94,1,X.010.D.13,tetl,04.04.01
95,1,X.010.D.14,nopalli,03.02.09
96,1,X.010.D.16,tetl,04.04.01
97,1,X.010.D.17,oztotl,04.03.09
98,1,X.010.D.17,tlalli,04.03.01
99,1,X.010.D.18,oztotl,04.03.09
100,1,X.010.D.19,ixtelolotli,01.02.15
101,1,X.010.D.21,huexocuahuitl,03.01.04
102,1,X.010.D.21,oztotl,04.03.09
103,1,X.010.D.22,ixtelolotli,01.02.15
104,1,X.010.D.23,nopalli,03.02.09
105,1,X.010.D.25,tepetl,04.03.08
106,1,X.010.D.25,atl,04.05.01
107,1,X.010.D.25,comitl,05.03.01
108,1,X.010.D.27,tepetl,04.03.08
109,1,X.010.D.27,montagnes_06,07.01.09
110,1,X.010.E.01,tepetl,04.03.08
111,1,X.010.E.01,atl,04.05.01
112,1,X.010.E.03,huitztli,03.04.09
113,1,X.010.E.03,itztli,04.04.06
114,1,X.010.E.03,atl,04.05.01
115,1,X.010.E.03,cilli,02.03.02
116,1,X.010.E.03,tliltic,08.01.02
117,1,X.010.E.04,quecholli,02.01.01
118,1,X.010.E.04,tepetl,04.03.08
119,1,X.010.E.04,atl,04.05.01
120,1,X.010.E.06,atl,04.05.01
121,1,X.010.E.06,?_05,09.00.05
122,1,X.010.E.07,cohuatl,02.02.20
123,1,X.010.E.08,tolin,03.02.02
124,1,X.010.E.08,tentli,01.02.18
125,1,X.010.E.10,ce,06.01.01
126,1,X.010.E.10,xiuhtic,08.01.03
127,1,X.010.E.11,macpalli,01.03.07
128,1,X.010.E.11,comitl,05.03.01
129,1,X.010.E.11,tepetl,04.03.08
130,1,X.010.E.11,atl,04.05.01
131,1,X.010.E.14,macuilli,06.01.02
132,1,X.010.E.14,ce,06.01.01
133,1,X.010.E.14,tecpatl,04.04.08
134,1,X.010.E.14,xiuhtic,08.01.03
135,1,X.010.E.15,nacaztli,01.02.13
136,1,X.010.E.15,atl,04.05.01
137,1,X.010.E.16,tolin,03.02.02
138,1,X.010.E.16,tentli,01.02.18
139,1,X.010.E.18-,ce,06.01.01
140,1,X.010.E.18-,xiuhtic,08.01.03
141,1,X.010.E.20,atl,04.05.01
142,1,X.010.E.20,tepetl,04.03.08
143,1,X.010.E.20,atl,04.05.01
144,1,X.010.E.21,tototl,02.01.13
145,1,X.010.E.21,tepetl,04.03.08
146,1,X.010.E.21,atl,04.05.01
147,1,X.010.E.22-,tlatoa,01.02.21
148,1,X.010.E.22-,effacé,10.00.00
149,1,X.010.F.01,ixtelolotli,01.02.15
150,1,X.010.F.02,apoctli,04.02.04
151,1,X.010.F.02,tepetl,04.03.08
152,1,X.010.F.02,atl,04.05.01
153,1,X.010.F.03,ixtelolotli,01.02.15
154,1,X.010.F.04,centli,03.04.02
155,1,X.010.F.04,tepetl,04.03.08
156,1,X.010.F.04,atl,04.05.01
157,1,X.010.F.05-,tzacualli,05.01.08
158,1,X.010.F.07,oztotl,04.03.09
159,1,X.010.F.08,ixtelolotli,01.02.15
160,1,X.010.F.09,xolotl,02.02.13
161,1,X.010.F.11,nopalli,03.02.09
162,1,X.010.F.13,mizquicuahuitl,03.01.05
163,1,X.010.F.13,yahualiuhqui,07.01.18
164,1,X.010.F.14,atl,04.05.01
165,1,X.010.F.14,tlalli,04.03.01
166,1,X.010.F.14,pantli,05.12.46
167,1,X.010.F.15-,xolotl,02.02.13
168,1,X.010.F.15-,tepetl,04.03.08
169,1,X.010.F.15-,atl,04.05.01
170,1,X.010.F.17,ce,06.01.01
171,1,X.010.F.17,tecpatl,04.04.08
172,1,X.010.F.17,xiuhtic,08.01.03
173,1,X.010.F.18,ixtelolotli,01.02.15
174,1,X.010.F.19,tolin,03.02.02
175,1,X.010.F.20,ixtelolotli,01.02.15
176,1,X.010.F.21-,tzacualli,05.01.08
177,1,X.010.F.21-,zacatl,03.02.08
178,1,X.010.F.21-,artefact_09,05.01.21
179,1,X.010.F.24,ce,06.01.01
180,1,X.010.F.24,xihuitl_4,06.01.04
181,1,X.010.F.25,xocpalmachiyotl,01.04.03
182,1,X.010.F.26,tolin,03.02.02
183,1,X.010.F.26,tentli,01.02.18
184,1,X.010.F.27,nenetl,01.02.01
185,1,X.010.F.27,tepetl,04.03.08
186,1,X.010.F.27,atl,04.05.01
187,1,X.010.F.28,effacé,10.00.00
188,1,X.010.F.28,tepetl,04.03.08
189,1,X.010.F.28,effacé,10.00.00
190,1,X.010.F.29,itzcuintli,02.02.12
191,1,X.010.F.29,tentli,01.02.18
192,1,X.010.F.31,tepotzotli,01.01.04
193,1,X.010.F.31,tentli,01.02.18
194,1,X.010.F.33,huaxin,03.04.04
195,1,X.010.F.33,huictli,05.10.01
196,1,X.010.F.35,zacatl,03.02.08
197,1,X.010.F.35,icopi,01.01.07
198,1,X.010.F.37,ce,06.01.01
199,1,X.010.F.37,tochtli,02.02.08
200,1,X.010.F.37,xiuhtic,08.01.03
201,1,X.010.F.39,ce,06.01.01
202,1,X.010.F.39,calli,05.01.01
203,1,X.010.F.39,xiuhtic,08.01.03
204,1,X.010.F.41,ce,06.01.01
205,1,X.010.F.41,tecpatl,04.04.08
206,1,X.010.F.41,xiuhtic,08.01.03
207,1,X.010.F.42,flore_04,03.04.16
208,1,X.010.F.43,ce,06.01.01
209,1,X.010.F.43,acatl,03.02.05
210,1,X.010.F.43,mitl,05.13.01
211,1,X.010.F.43,xiuhtic,08.01.03
212,1,X.010.G.01,huitztli,03.04.09
213,1,X.010.G.01,tepetl,04.03.08
214,1,X.010.G.01,itztli,04.04.06
215,1,X.010.G.02-,ce,06.01.01
216,1,X.010.G.02-,tecpatl,04.04.08
217,1,X.010.G.04,tletl,04.02.01
218,1,X.010.G.04,tepetl,04.03.08
219,1,X.010.G.05,xilotl,03.04.01
220,1,X.010.G.05,tepetl,04.03.08
221,1,X.010.G.06,acalli,05.14.01
222,1,X.010.G.06,atl,04.05.01
223,1,X.010.G.07,iztac,08.01.01
224,1,X.010.G.07,cuauhtli,02.01.06
225,1,X.010.G.09,terre_02,04.03.03
226,1,X.010.G.11,xalli,04.03.07
227,1,X.010.G.11,tocatl,02.02.22
228,1,X.010.G.12,tecpatl,04.04.08
229,1,X.010.G.14,mitl,05.13.01
230,1,X.010.G.14,iztac,08.01.01
231,1,X.010.G.16,cozcatl,05.07.23
232,1,X.010.G.16,cuauhtli,02.01.06
233,1,X.010.G.17,tentli,01.02.18
234,1,X.010.G.17,centzontli,03.02.13
235,1,X.010.G.17,artefact_01,05.15.02
236,1,X.010.G.19,tentli,01.02.18
237,1,X.010.G.19,artefact_01,05.15.02
238,1,X.010.G.21,ce,06.01.01
239,1,X.010.G.21,tochtli,02.02.08
240,1,X.010.G.21,xiuhtic,08.01.03
241,1,X.010.G.22,ce,06.01.01
242,1,X.010.G.22,calli,05.01.01
243,1,X.010.G.22,xiuhtic,08.01.03
244,1,X.010.G.23,ce,06.01.01
245,1,X.010.G.23,xiuhtic,08.01.03
246,1,X.010.H.02,tototl,02.01.13
247,1,X.010.H.02,miyahuatl,03.03.08
248,1,X.010.H.04-,oztotl,04.03.09
249,1,X.010.H.04-,tepetl,04.03.08
250,1,X.010.H.04-,atl,04.05.01
251,1,X.010.H.04-,tetl,04.04.01
252,1,X.010.H.04-,atl,04.05.01
253,1,X.010.H.05,xolotl,02.02.13
254,1,X.010.H.07,tentli,01.02.18
255,1,X.010.H.07,tlalli,04.03.01
256,1,X.010.H.07,tolin,03.02.02
257,1,X.010.H.08,tochtli,02.02.08
258,1,X.010.H.08,tlalli,04.03.01
259,1,X.010.H.09,mazatl,02.02.09
260,1,X.010.H.09,tlalli,04.03.01
261,1,X.010.H.09,cuacuahuitl,02.02.10
262,1,X.010.H.11,ce,06.01.01
263,1,X.010.H.11,tecpatl,04.04.08
264,1,X.010.H.11,xiuhtic,08.01.03
265,1,X.010.H.12,atlapalli,02.01.14
266,1,X.010.H.14,acatl,03.02.05
267,1,X.010.H.14,tonalli,04.01.07
268,1,X.010.H.14,atl,04.05.01
269,1,X.010.H.16,nopalli,03.02.09
270,1,X.010.H.18,effacé,10.00.00
271,1,X.010.H.18,tepetl,04.03.08
272,1,X.010.H.18,atl,04.05.01
273,1,X.010.I.01,ce,06.01.01
274,1,X.010.I.01,xiuhtic,08.01.03
275,1,X.010.I.02,tolin,03.02.02
276,1,X.010.I.02,tentli,01.02.18
277,1,X.010.I.03,mitl,05.13.01
278,1,X.010.I.05,huitztli,03.04.09
279,1,X.010.I.05,itztli,04.04.06
280,1,X.010.I.05,atl,04.05.01
281,1,X.010.I.05,tliltic,08.01.02
282,1,X.010.I.09,cohuatl,02.02.20
283,1,X.010.I.10,atl,04.05.01
284,1,X.010.I.10,?_05,09.00.05
285,1,X.010.I.11,tepetl,04.03.08
286,1,X.010.I.11,atl,04.05.01
287,1,X.010.I.11,tlatzalan,07.01.03
288,1,X.010.I.12,tlantli,01.02.19
289,1,X.010.I.13,ce,06.01.01
290,1,X.010.I.13,tecpatl,04.04.08
291,1,X.010.I.13,xiuhtic,08.01.03
292,1,X.010.I.14,fruit_01,03.03.12
293,1,X.010.I.14,tepetl,04.03.08
294,1,X.010.I.14,atl,04.05.01
295,1,X.010.I.15,itztli,04.04.06
296,1,X.010.I.15,tepetl,04.03.08
297,1,X.010.I.15,atl,04.05.01
298,1,X.010.I.16,ihuitl,02.01.16
299,1,X.010.I.16,xochitl,03.03.01
300,1,X.010.I.18,cuauhtli,02.01.06
301,1,X.010.I.18,xocpalli,01.04.02
302,1,X.010.I.18,atl,04.05.01
303,1,X.010.I.20,cuauhtli,02.01.06
304,1,X.010.I.20,ixtelolotli,01.02.15
305,1,X.010.I.21,tolin,03.02.02
306,1,X.010.I.23,ce,06.01.01
307,1,X.010.I.23,xiuhtic,08.01.03
308,1,X.010.I.24,acatl,03.02.05
309,1,X.010.I.26,ornement_04,05.06.42
310,1,X.010.I.27,ce,06.01.01
311,1,X.010.I.30,ocelotl,02.02.01
312,1,X.010.I.30,xochitl,03.03.01
313,1,X.010.I.31,coltic,07.01.10
314,1,X.010.I.31,tepetl,04.03.08
315,1,X.010.I.32,atl,04.05.01
316,1,X.010.I.33,tolin,03.02.02
317,1,X.010.I.33,tentli,01.02.18
318,1,X.010.I.34-,etl,03.04.07
319,1,X.010.I.35,tlantli,01.02.19
320,1,X.010.I.35,tletl,04.02.01
321,1,X.010.I.35,popoca,04.02.02
322,1,X.010.I.38,matlalli,03.03.06
323,1,X.010.I.38,atl,04.05.01
324,1,X.010.I.39,chapolin,02.01.22
325,1,X.010.I.39,tepetl,04.03.08
326,1,X.010.I.39,atl,04.05.01
327,1,X.010.I.40,ce,06.01.01
328,1,X.010.I.40,tecpatl,04.04.08
329,1,X.010.I.40,xiuhtic,08.01.03
330,1,X.010.I.41,macuilli,06.01.02
331,1,X.010.I.41,xiuhtic,08.01.03
332,1,X.010.I.42,macuilli,06.01.02
333,1,X.010.I.42,ce,06.01.01
334,1,X.010.I.42,tepetl,04.03.08
335,1,X.010.I.42,atl,04.05.01
336,1,X.010.I.42,tliltic,08.01.02
337,1,X.010.Z.01,tepetl,04.03.08
338,1,X.010.Z.01,tepetla,07.01.04
339,1,X.010.Z.01,atl,04.05.01
340,1,X.010.Z.02,atl,04.05.01
341,1,X.010.Z.02,atl,04.05.01
342,1,X.010.Z.02,huei,07.01.16
343,1,X.011.A.02,effacé,10.00.00
344,1,X.011.A.02,tepetl,04.03.08
345,1,X.011.A.03-,effacé,10.00.00
346,1,X.011.A.07,tletl,04.02.01
347,1,X.011.A.07,?_06,09.00.06
348,1,X.011.A.09-,pantli,05.12.46
349,1,X.011.A.09-,ixtelolotli,01.02.15
350,1,X.011.A.09-,tepetl,04.03.08
351,1,X.011.A.09-,comitl,05.03.01
352,1,X.011.A.09-,tlantli,01.02.19
353,1,X.011.A.10,cuauhtli,02.01.06
354,1,X.011.A.15,xolotl,02.02.13
355,1,X.011.A.17,ce,06.01.01
356,1,X.011.A.17,xiuhtic,08.01.03
357,1,X.011.A.19-,macpalli,01.03.07
358,1,X.011.A.19-,comitl,05.03.01
359,1,X.011.A.19-,tepetl,04.03.08
360,1,X.011.A.19-,tentli,01.02.18
361,1,X.011.A.23,tolin,03.02.02
362,1,X.011.A.23,tentli,01.02.18
363,1,X.011.A.24,nopalli,03.02.09
364,1,X.011.B.01,tepetl,04.03.08
365,1,X.011.B.01,effacé,10.00.00
366,1,X.011.B.02,nopalli,03.02.09
367,1,X.011.B.05,xahualli,05.06.16
368,1,X.011.B.06,xolotl,02.02.13
369,1,X.011.B.08,arbre_02,03.01.08
370,1,X.011.B.08,comitl,05.03.01
371,1,X.011.B.08,ixtelolotli,01.02.15
372,1,X.011.B.10,icopi,01.01.07
373,1,X.011.B.10,zacatl,03.02.08
374,1,X.011.B.11,yacatl,01.02.17
375,1,X.011.B.11,zayolin,02.01.25
376,1,X.011.B.12,tochtli,02.02.08
377,1,X.011.B.13,xolotl,02.02.13
378,1,X.011.B.15,ce,06.01.01
379,1,X.011.B.15,xiuhtic,08.01.03
380,1,X.011.B.18,tolin,03.02.02
381,1,X.011.B.18,tentli,01.02.18
382,1,X.011.B.20,nopalli,03.02.09
383,1,X.011.B.22,totolin,02.01.12
384,1,X.011.C.01,nopalli,03.02.09
385,1,X.011.C.03,tochtli,02.02.08
386,1,X.011.C.05,tentli,01.02.18
387,1,X.011.C.05,?_04,09.00.04
388,1,X.011.C.06,teoxihuitl,04.04.04
389,1,X.011.C.06,tepetl,04.03.08
390,1,X.011.C.09,tolin,03.02.02
391,1,X.011.C.09,tentli,01.02.18
392,1,X.011.C.10,nopalli,03.02.09
393,1,X.011.D.01,tlacatl,01.01.01
394,1,X.011.D.01,effacé,10.00.00
395,1,X.011.D.02,atl,04.05.01
396,1,X.011.D.02,tetl,04.04.01
397,1,X.011.D.02,récipient_04,05.03.09
398,1,X.011.D.03,chian,03.04.06
399,1,X.011.D.03,molcaxitl,05.03.06
400,1,X.011.D.04,comitl,05.03.01
401,1,X.011.D.04,tlalli,04.03.01
402,1,X.011.D.06-,cuauhtli,02.01.06
403,1,X.011.D.06-,effacé,10.00.00
404,1,X.011.D.10,mazatl,02.02.09
405,1,X.011.D.10,cuacuahuitl,02.02.10
406,1,X.011.D.13-,tlantli,01.02.19
407,1,X.011.D.13-,effacé,10.00.00
408,1,X.011.D.15,tlantli,01.02.19
409,1,X.011.D.15,effacé,10.00.00
410,1,X.011.D.17,cuauhtli,02.01.06
411,1,X.011.D.17,tlatoa,01.02.21
412,1,X.011.D.18,xolotl,02.02.13
413,1,X.011.D.21,tepotzotli,01.01.04
414,1,X.012.A.01-,tepetl,04.03.08
415,1,X.012.A.03,tepetl,04.03.08
416,1,X.012.A.04,tepetl,04.03.08
417,1,X.012.A.05,xolotl,02.02.13
418,1,X.012.A.07-,tepetl,04.03.08
419,1,X.012.A.07-,tetl,04.04.01
420,1,X.012.A.08-,tepetl,04.03.08
421,1,X.012.A.09,tepetl,04.03.08
422,1,X.012.A.10,tepetl,04.03.08
423,1,X.012.A.10,texcalli,07.01.01
424,1,X.012.A.10,tetl,04.04.01
425,1,X.012.A.11,tepetl,04.03.08
426,1,X.012.A.13,tamazolin,02.02.18
427,1,X.012.A.13,azcaxochitl,03.03.07
428,1,X.012.A.15,xilotl,03.04.01
429,1,X.012.A.17,tentli,01.02.18
430,1,X.012.A.17,?_10,09.00.10
431,1,X.012.A.19,cohuatl,02.02.20
432,1,X.012.A.19,tepetl,04.03.08
433,1,X.012.A.21,tentli,01.02.18
434,1,X.012.A.21,tlalli,04.03.01
435,1,X.012.A.23,centzontli,03.02.13
436,1,X.012.A.23,tecomatl,05.03.08
437,1,X.012.A.26,tetl,04.04.01
438,1,X.012.A.27,tentli,01.02.18
439,1,X.012.A.27,pantli,05.12.46
440,1,X.012.A.28,malinalli,03.01.14
441,1,X.012.A.28,xochitl,03.03.01
442,1,X.012.A.31,itztli,04.04.06
443,1,X.012.A.31,mitl,05.13.01
444,1,X.012.A.31,tlantli,01.02.19
445,1,X.012.A.32,acatl,03.02.05
446,1,X.012.A.32,tonalli,04.01.07
447,1,X.012.A.32,atl,04.05.01
448,1,X.012.A.36,effacé,10.00.00
449,1,X.012.A.37,tepetl,04.03.08
450,1,X.012.A.38,huehuetl,05.10.10
451,1,X.012.A.40,nopalli,03.02.09
452,1,X.012.A.42,terre_03,04.03.04
453,1,X.012.A.43,ce,06.01.01
454,1,X.012.A.43,tecpatl,04.04.08
455,1,X.012.A.43,xiuhtic,08.01.03
456,1,X.012.A.45,chian,03.04.06
457,1,X.012.B.02,quimilli,05.12.13
458,1,X.012.B.05,cueitl,05.08.01
459,1,X.012.B.05,effacé,10.00.00
460,1,X.012.B.07,chalchihuitl,04.04.03
461,1,X.012.B.07,effacé,10.00.00
462,1,X.012.B.09,chocholli,02.02.11
463,1,X.012.B.10,plume_02,02.01.19
464,1,X.012.B.10,quetzalli,02.01.15
465,1,X.012.B.13,quetzalli,02.01.15
466,1,X.012.B.13,cueitl,05.08.01
467,1,X.012.B.18,quecholli,02.01.01
468,1,X.012.B.18,tepetl,04.03.08
469,1,X.012.B.19-,macuilli,06.01.02
470,1,X.012.B.19-,xochitl,03.03.01
471,1,X.012.B.22,quechquemitl,05.07.04
472,1,X.012.B.24,macuilli,06.01.02
473,1,X.012.B.24,ce,06.01.01
474,1,X.012.B.25,pochotl,03.01.02
475,1,X.012.B.29,cohuatl,02.02.20
476,1,X.012.B.29-,chalchihuitl,04.04.03
477,1,X.012.B.29-,tlanextli,04.01.06
478,1,X.012.B.31,effacé,10.00.00
479,1,X.012.B.31,effacé,10.00.00
480,1,X.012.B.34,atlapalli,02.01.14
481,1,X.012.B.35,xolotl,02.02.13
482,1,X.012.B.38,xochitl,03.03.01
483,1,X.012.B.38,pachtli,03.02.12
484,1,X.012.B.38,cuaitl,01.02.06
485,1,X.012.B.39,ilhuicatl,04.01.01
486,1,X.012.B.39,zo,07.01.19
487,1,X.012.B.39,tlatoa,01.02.21
488,1,X.012.B.41,tepetl,04.03.08
489,1,X.012.B.42,atl,04.05.01
490,1,X.012.B.42,cilli,02.03.02
491,1,X.012.B.43,tepetl,04.03.08
492,1,X.012.B.44,metl,03.02.10
493,1,X.012.B.44,effacé,10.00.00
494,1,X.012.B.45,chalchihuitl,04.04.03
495,1,X.012.B.47,effacé,10.00.00
496,1,X.012.B.49,tepetl,04.03.08
497,1,X.012.B.49,tetl,04.04.01
498,1,X.012.B.50,nopalli,03.02.09
499,1,X.012.B.52,oztotl,04.03.09
500,1,X.012.B.53,cuauhtli,02.01.06
501,1,X.012.B.53,plume_01,02.01.18
502,1,X.012.B.56,xochitl,03.03.01
503,1,X.012.B.56,pachtli,03.02.12
504,1,X.012.B.56,cuaitl,01.02.06
505,1,X.012.B.57,tepetl,04.03.08
506,1,X.012.B.58,chalchihuitl,04.04.03
507,1,X.012.B.58,totomochtli,03.04.03
508,1,X.012.B.60,tamazolin,02.02.18
509,1,X.012.B.60,azcaxochitl,03.03.07
510,1,X.012.B.62,tlatoa,01.02.21
511,1,X.012.B.62,tlalli,04.03.01
512,1,X.012.B.62,itzcuintli,02.02.12
513,1,X.012.B.64,cuetlachtli,02.02.02
514,1,X.012.B.64,ihuitl,02.01.16
515,1,X.012.B.64-,nopalli,03.02.09
516,1,X.012.B.66,malinalli,03.01.14
517,1,X.012.B.66,xochitl,03.03.01
518,1,X.012.B.68-,tepetl,04.03.08
519,1,X.012.B.68-,tlatzalan,07.01.03
520,1,X.012.C.02,iztac,08.01.01
521,1,X.012.C.02,mitl,05.13.01
522,1,X.012.C.06,oztotl,04.03.09
523,1,X.012.C.08,oztotl,04.03.09
524,1,X.012.C.09,tecpatl,04.04.08
525,1,X.012.C.11,oztotl,04.03.09
526,1,X.012.C.12,acatl,03.02.05
527,1,X.012.C.12,tonalli,04.01.07
528,1,X.012.C.12,atl,04.05.01
529,1,X.012.C.14,cuauhtli,02.01.06
530,1,X.012.C.14,effacé,10.00.00
531,1,X.012.C.16,cozcatl,05.07.23
532,1,X.012.C.16,cuauhtli,02.01.06
533,1,X.012.C.17,oztotl,04.03.09
534,1,X.012.C.19,oztotl,04.03.09
535,1,X.012.C.21,atlapalli,02.01.14
536,1,X.012.C.23,oztotl,04.03.09
537,1,X.012.C.24,nopalli,03.02.09
538,1,X.012.C.26,xolotl,02.02.13
539,1,X.012.C.28,comitl,05.03.01
540,1,X.012.C.28,atl,04.05.01
541,1,X.012.C.30,tilmatli,05.07.01
542,1,X.012.C.30,huictli,05.10.01
543,1,X.012.C.32,cuauhtli,02.01.06
544,1,X.012.C.32,plume_01,02.01.18
545,1,X.012.C.33,oztotl,04.03.09
546,1,X.012.C.34,miyahuatl,03.03.08
547,1,X.012.C.34,effacé,10.00.00
548,1,X.012.C.36,xochitl,03.03.01
549,1,X.012.C.36,effacé,10.00.00
550,1,X.012.D.01,tlalli,04.03.01
551,1,X.012.D.01,atl,04.05.01
552,1,X.012.D.01,tototl,02.01.13
553,1,X.012.D.01,atl,04.05.01
554,1,X.012.D.01,terre_01,04.03.02
555,1,X.012.D.01,effacé,10.00.00
556,1,X.012.D.01,atl,04.05.01
557,1,X.012.D.01,pitzahuac,07.01.13
558,1,X.012.D.01,tlalli,04.03.01
559,1,X.012.D.02,tepetl,04.03.08
560,1,X.012.D.04,chalchihuitl,04.04.03
561,1,X.012.D.04,terre_02,04.03.03
562,1,X.012.D.05,tepetl,04.03.08
563,1,X.012.D.06,mitl,05.13.01
564,1,X.012.D.08,cipactli,02.03.01
565,1,X.012.D.08,xochitl,03.03.01
566,1,X.012.D.11,chalchihuitl,04.04.03
567,1,X.012.D.11,totomochtli,03.04.03
568,1,X.012.D.12,maitl_1,01.03.05
569,1,X.012.D.12,atl,04.05.01
570,1,X.012.D.12,cilli,02.03.02
571,1,X.012.D.14,atl,04.05.01
572,1,X.012.D.14,effacé,10.00.00
573,1,X.012.D.16,calli,05.01.01
574,1,X.012.D.16,atl,04.05.01
575,1,X.012.D.18,cueitl,05.08.01
576,1,X.012.D.20,xilotl,03.04.01
577,1,X.012.D.21,metl,03.02.10
578,1,X.012.D.21,atl,04.05.01
579,1,X.012.D.23,fleur_01,03.03.02
580,1,X.012.D.23,chimalli,05.13.02
581,1,X.012.D.23,atl,04.05.01
582,1,X.012.D.24-,ornement_04,05.06.42
583,1,X.012.D.24-,cuaitl,01.02.06
584,1,X.012.D.25,ce,06.01.01
585,1,X.012.D.25,xiuhtic,08.01.03
586,1,X.012.D.27,effacé,10.00.00
587,1,X.012.D.29,tepetl,04.03.08
588,1,X.012.D.29,coltic,07.01.10
589,1,X.012.D.31,pochotl,03.01.02
590,1,X.012.D.33,effacé,10.00.00
591,1,X.012.D.33,effacé,10.00.00
592,1,X.012.D.34,ocelotl,02.02.01
593,1,X.012.D.34,xochitl,03.03.01
594,1,X.012.D.36-,ornement_04,05.06.42
595,1,X.012.D.36-,cuaitl,01.02.06
596,1,X.012.D.37,ce,06.01.01
597,1,X.012.D.40,nenetl,01.02.01
598,1,X.012.D.42,ihuitl,02.01.16
599,1,X.012.D.42,xochitl,03.03.01
600,1,X.012.D.44,ixcuaitl,01.02.08
601,1,X.012.D.44,cuauhtli,02.01.06
602,1,X.012.D.46,cuauhtli,02.01.06
603,1,X.012.D.46,xocpalli,01.04.02
604,1,X.012.D.46,atl,04.05.01
605,1,X.012.D.49,maitl_1,01.03.05
