id,codexid,cote,lecture,element
3721,8,V48v_1_B,chalchiuhtlatonac," tonalli, tlantli, chalchihuitl,"
3722,8,V48v_2_A,cuicaxochitl," xochitl, cuicatl,"
3723,8,V48v_3_A,xoxocoyol," coyolli, icxitl,"
3724,8,V48v_4_A,poyoma," macpalli, poyomatli,"
3725,8,V49r_1_A,xolohua," xolotl,"
3726,8,V49r_2_A,aca," acatl, mitl,"
3727,8,V49r_2_B,icnocuica," tlacatl, ixayotl, cuicatl,"
3728,8,V49r_3_A,tlatolmitl," olli, mitl, tlantli, tlatoa,"
3729,8,V49r_4_A,texcalticpac," comitl, texcalli, tentli,"
3730,8,V49v_1_A,itzcohuatl," atl, comitl, mitl, itztli,"
3731,8,V49v_2_A,mocuauhzoma," macpalli, cuauhtli, ixayotl, montli,"
3732,8,V49v_3_A,xolo," olli, otli, xocpalmachiyotl, icxitl,"
3733,8,V49v_4_A,mahuiz," huitztli, huictli, macpalli,"
3734,8,V50r_1_A,cozan," cozamatl, comitl,"
3735,8,V50r_2_A,ayaquicatl," cactli, atl, ayatl,"
3736,8,V50r_3_A,miton," mitl, tototl,"
3737,8,V50r_4_A,mazatl," mazatl,"
3738,8,V50v_1_A,cuauhxonecuilatl," atl, xonecuilli, icxitl, cuahuitl_1,"
3739,8,V50v_2_A,tehuehuel," yollotl, huehuetl, tetl,"
3740,8,V50v_3_A,xochitepetl," xochitl, tepetl,"
3741,8,V50v_4_A,tecuitlacoz," comitl, tlantli, coiffure,"
3742,8,V51r_1_A,tochtli," tochtli,"
3743,8,V51r_2_A,cohuatl," atl, comitl,"
3744,8,V51r_3_A,matlalihui," ihuitl, tlantli, macpalli,"
3745,8,V51v_1_A,pinahuiz ?," tocatl,"
3746,8,V51v_2_A,ocelotl," ocelotl,"
3747,8,V51v_3_A,yaotlachia," tlachia, chimalli, macuahuitl, itztli,"
3748,8,V51v_4_A,amazatl," mazatl, atl,"
3749,8,V52r_1_A,telpozaca," telpocatl, zacatl,"
3750,8,V52r_2_A,quiyauh," quiyahuitl,"
3751,8,V52r_3_A,huitzilcuauh," cuauhtli, huitzilin,"
3752,8,V52v_1_A,tozcohuatl," atl, comitl, tototl, toztli,"
3753,8,V52v_2_A,xochimitl," xochitl, mitl,"
3754,8,V52v_2_B,aoctomacehual," ehecacehuaztli, macpalli, ?_16, octli, atl,"
3755,8,V52v_3_A,aztatzon," tzontli, aztatl,"
3756,8,V52v_4_A,icococauh," chilli, comitl, atl, comitl,"
3757,8,V52v_4_B,cencuauhtla," cuahuitl_1, centli,"
3758,8,V53r_1_A,mimich," michin, mitl,"
3759,8,V53r_2_A,tzapoicpal," tzapotl, icpalli, petlatl,"
3760,8,V53r_3_A,xopan," pantli, icxitl, flore_05,"
3761,8,V53r_3_B,quetzalcoyotl," quetzalli, coyotl,"
3762,8,V53r_4_A,teuhchimal," tetl, chimalli,"
3763,8,V53r_4_B,tochtli," tochtli,"
3764,8,V53v_1_A,nauhehecatl," nextli, etl, ce,"
3765,8,V53v_2_A,teahuiltin," tlacatl, ?_14, ahuiltia, ehecacehuaztli,"
3766,8,V53v_3_A,xiuhnel," etl, xihuitl_3,"
3767,8,V53v_4_A,atemoc," atl, tetl, xocpalmachiyotl,"
3768,8,V54r_1_A,maxtlazaca," zacatl, maxtlatl,"
3769,8,V54r_1_B,patli," pantli, patli,"
3770,8,V54r_2_A,cihuacuicuil," cihuatl, cuicuiltic, atl,"
3771,8,V54r_3_A,miquiz," cuaxicalli, eztli,"
3772,8,V54r_3_B,tlaocol," olli, tlantli, atl,"
3773,8,V54r_4_A,macuiloc," macuilli, macpalli, octli,"
3774,8,V54v_1_A,chimal ?," ?_15, chimalli, tentlapilolli,"
3775,8,V54v_2_A,itzcohuatl," atl, comitl, itztli, mitl,"
3776,8,V54v_3_A,miton," mitl, mitl, tototl,"
3777,8,V54v_4_A,tetzauhtototl," malacatl, tentli, tototl,"
3778,8,V55r_1_A,quiyauh," quiyahuitl,"
3779,8,V55r_2_A,tepalecoc," octli, comitl, etl, tentli,"
3780,8,V55r_2_B,quiyauh," quiyahuitl,"
3781,8,V55r_3_A,yaotl," chimalli, macuahuitl, itztli,"
3782,8,V55r_4_A,xochitlicac," xochitl, icxitl,"
3783,8,V55v_1_A,icnotl," tlacatl, ixayotl,"
3784,8,V55v_1_B,chalchiuhtlatonac," chalchihuitl,"
3785,8,V55v_2_A,cuicaxochitl," xochitl, cuicatl,"
3786,8,V55v_3_A,xoxocoyol," coyolli, xocpalli,"
3787,8,V55v_4_A,poyoma," macpalli, poyomatli,"
3788,8,V56r_1_A,xolohua," xolotl, tlacatl,"
3789,8,V56r_2_A,aca," acatl, mitl,"
3790,8,V56r_2_B,icnocuica," cuicatl, tlacatl, ixayotl,"
3791,8,V56r_3_A,tlatolmitl," olli, mitl, tlantli, tlatoa,"
3792,9,072_01,itzcohuatzin," itztli, cohuatl,"
3793,9,072_03,moteuczomatzin ilhuicamina," tentetl, xiuhuitzolli, tzontli,"
3794,9,072_05,tezozomoctzin," tetl, xayacatl, tlatoa, xalli,"
3795,9,072_07,atotoztli," atl, toztli,"
3796,9,072_09,tizocicatzin," icxitl, zo,"
3797,9,072_11,axayacatzin," tlacatl, atl,"
3798,9,072_13,ahuitzotzin," itzcuintli, atl,"
3799,9,072_15,tezcatl popocatzin," popoca, tezcatl,"
3800,9,072_17,cihuaiztitzin," cihuatl, iztetl,"
3801,9,072_21,cuauhixtli *," cuauhtli, ixtelolotli,"
3802,9,072_23,malinal *," malinalli_2, tlotli,"
3803,10,073_01_A_01,tecpan," calli,"
3804,10,073_01_A_03,tlacamecayotl," mecatl,"
3805,10,073_01_A_05,tlacamecayotl," mecatl,"
3806,10,073_01_A_10,tecpan," calli,"
3807,10,073_01_A_12,tecpan," calli,"
3808,10,073_01_A_15,tecpan," calli,"
3809,10,073_01_A_18,tecpan," calli,"
3810,10,073_01_B_01,tecpan," calli,"
3811,10,073_01_B_02,tlacamecayotl," mecatl,"
3812,10,073_01_B_03,corona real europea," corona,"
3813,10,073_01_B_16,tecpan," calli,"
3814,10,073_01_C_01,tecpan," calli,"
3815,10,073_01_C_06b,tlacamecayotl," mecatl,"
3816,10,073_01_C_08,tecpan," calli,"
3817,10,073_01_C_10,tecpan," calli,"
3818,10,073_01_C_13,tecpan," calli,"
3819,10,073_01_C_15,tecpan," calli,"
3820,10,073_01_C_18,tecpan," calli,"
3821,10,073_01_C_21,tecpan," calli,"
3822,10,073_01_D_01A_02A,línea roja de enlace," línea_enlace,"
3823,10,073_01_D_01C_03C,línea roja de enlace," línea_enlace,"
3824,10,073_01_D_02A_05B,línea azul de enlace," línea_enlace,"
